Gene	Control	Grave_I	Grave_II	SIZE	Group
gene_id_57670	9.50516129	8.915660938	4.323744444	1	#B0E0E6
gene_id_79733	12.0727	11.77389375	21.78514444	1	#B0E0E6
gene_id_129492	10.94276613	18.16432813	16.90519444	1	#B0E0E6
gene_id_79738	7.587759677	8.198775	14.45271389	1	#B0E0E6
gene_id_90684	4.091685484	5.07946875	12.80991389	1	#B0E0E6
gene_id_96133	10.13581935	8.34683125	2.308038889	1	#B0E0E6
gene_id_96130	8.976675806	7.259234375	2.059761111	1	#B0E0E6
gene_id_96131	28.79694839	23.67289219	6.599005556	1	#B0E0E6
gene_id_97260	75.42635484	80.04795313	57.73086111	1	#B0E0E6
gene_id_97262	54.64927419	59.43035938	43.55516667	1	#B0E0E6
gene_id_90688	4.989966129	6.8530875	16.11666667	1	#B0E0E6
gene_id_111194	7.200670968	8.724525	0.879463889	1	#B0E0E6
gene_id_127595	10.39784516	10.403325	6.422622222	1	#B0E0E6
gene_id_115442	4.643951613	5.2205625	12.14266667	1	#B0E0E6
gene_id_58736	11.25317742	9.7013375	5.733594444	1	#B0E0E6
gene_id_58735	11.47851613	11.27385469	5.708516667	1	#B0E0E6
gene_id_58733	8.596129032	8.019521875	4.134197222	1	#B0E0E6
gene_id_58730	30.48536129	25.6196875	12.73219444	1	#B0E0E6
gene_id_58739	11.728	10.773325	5.140202778	1	#B0E0E6
gene_id_91483	5.6118	6.072403125	13.6925	1	#B0E0E6
gene_id_31663	1.928025806	13.37540938	7.533027778	1	#B0E0E6
gene_id_39836	8.496162903	10.14814531	1.100019444	1	#B0E0E6
gene_id_100464	3.820480645	6.102164063	13.35466667	1	#B0E0E6
gene_id_101737	3.972690323	5.949348438	10.56638889	1	#B0E0E6
gene_id_135164	22.29901613	18.7178875	7.255969444	1	#B0E0E6
gene_id_39691	9.746380645	10.9001125	0.884236111	1	#B0E0E6
gene_id_130821	12.35594032	13.22394063	44.10313889	1	#B0E0E6
gene_id_89132	8.670290323	8.370075	15.35222222	1	#B0E0E6
gene_id_89017	5.566335484	6.350128125	14.91030556	1	#B0E0E6
gene_id_98045	14.74028871	11.76400938	1.935083333	1	#B0E0E6
gene_id_98041	14.55895484	11.05046563	1.643211111	1	#B0E0E6
gene_id_82698	8.138225806	7.175265625	1.033047222	1	#B0E0E6
gene_id_93746	4.138482258	5.594967188	12.9153	1	#B0E0E6
gene_id_99792	5.030196774	8.886025	20.42475278	1	#B0E0E6
gene_id_110789	11.44627419	13.49983438	4.969458333	1	#B0E0E6
gene_id_110788	16.96305484	23.20127813	6.810705556	1	#B0E0E6
gene_id_24299	10.9671871	9.22396875	5.941597222	1	#B0E0E6
gene_id_24294	19.64014516	15.94125	9.10825	1	#B0E0E6
gene_id_24295	16.19645161	12.70357813	11.02836389	1	#B0E0E6
gene_id_102713	7.348716129	11.40185156	21.71169444	1	#B0E0E6
gene_id_36266	8.659129032	8.59984375	3.565294444	1	#B0E0E6
gene_id_103040	7.221959677	11.18095469	21.08749722	1	#B0E0E6
gene_id_103044	5.871053226	8.81319375	16.58369444	1	#B0E0E6
gene_id_103046	4.683754839	7.219992188	13.90161111	1	#B0E0E6
gene_id_114748	5.3174	6.671648438	18.99111111	1	#B0E0E6
